MicrobeID	actn_R	h2s	indole	no2	n2	ac	but	isobut	isoval	ppa	dha	succ	s	pheme	etoh	trp_L	lac_L	for	nh4	co2	h2
Acinetobacter_baumannii_NIPH_24	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_NIPH_335	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_calcoaceticus_NIPH_13	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_guillouiae_CIP_63_46	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_haemolyticus_CIP_64_3	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_johnsonii_CIP_64_6	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_junii_CIP_107470	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_junii_CIP_64_5	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_lwoffii_CIP_70_31	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_lwoffii_NCTC_5866	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_nosocomialis_NIPH_2119	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_pittii_CIP_70_29	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_radioresistens_DSM_6976	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_israelii_DSM_43320	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_massiliensis_4401292	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_naeslundii_str_Howell_279	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_timonensis_DSM_23838	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_urogenitalis_DSM_15434	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acutalibacter_muris_KB18	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adlercreutzia_equolifaciens_DSM_19450	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adlercreutzia_muris_DSM_29508	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aerococcus_viridans_ATCC_11563	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas_hydrophila_259	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afipia_birgiae_34632	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aggregatibacter_aphrophilus_ATCC_33389	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aggregatibacter_segnis_ATCC_33393	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcaligenes_faecalis_subsp_faecalis_NBRC_13111	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes_ihumii_AP11	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes_indistinctus_YIT_12060	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes_onderdonkii_DSM_19147	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes_putredinis_DSM_17216	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes_senegalensis_JC50	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes_shahii_WAL_8301	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes_timonensis_JC136	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alloscardovia_omnicolens_DSM_21503	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerococcus_hydrogenalis_DSM_7454	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerococcus_lactolyticus_ATCC_51172	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerococcus_prevotii_DSM_20548	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerococcus_senegalensis_JC48	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerococcus_tetradius_ATCC_35098	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerococcus_vaginalis_ATCC_51170	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerofustis_stercorihominis_DSM_17244	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerostipes_caccae_DSM_14662	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerotignum_lactatifermentans_DSM_14214	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
Anaerotignum_propionicum_DSM_1682	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
Anaerotruncus_colihominis_DSM_17241	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcanobacterium_haemolyticum_DSM_20595	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_altitudinis_41KF2b	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_cereus_ATCC_14579	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_megaterium_NBRC_15308_ATCC_14581	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_vallismortis_DV1_F_3	1	-1	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
Bacteroides_caccae_ATCC_43185	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_caecimuris_I48	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_cellulosilyticus_DSM_14838	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Bacteroides_clarus_YIT_12056	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_coprosuis_DSM_18011	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_eggerthii_DSM_20697	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_faecis_MAJ27	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_finegoldii_DSM_17565	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fluxus_YIT_12057	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_HMW_615	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_NCTC_9343	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_str_3986_T_B_9	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_gallinarum_DSM_18171_JCM_13658	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_graminisolvens_DSM_19988	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_helcogenes_P_36_108	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_intestinalis_341_DSM_17393	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_luti_DSM_26991	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_oleiciplenus_YIT_12058	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_ovatus_ATCC_8483	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_propionicifaciens_DSM_19291_JCM_14649	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_pyogenes_JCM_10003	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_rodentium_JCM_16496	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_salyersiae_WAL_10018	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_stercoris_ATCC_43183	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_thetaiotaomicron_VPI_5482	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_timonensis_AP1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_uniformis_ATCC_8492	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_xylanisolvens_XB1A	-1	0	-1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Barnesiella_intestinihominis_YIT_11860	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Barnesiella_viscericola_DSM_18177	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_animalis_subsp_animalis_YL2	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_catenulatum_DSM_16992	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_gallicum_DSM_20093	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_longum_longum_CCUG_52486	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blautia_hansenii_VPI_C7_24_DSM_20583	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blautia_hydrogenotrophica_DSM_10507	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blautia_luti_DSM_14534	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blautia_massiliensis_GD9	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blautia_obeum_ATCC_29174	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blautia_producta_DSM_2950	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blautia_wexlerae_DSM_19850	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyricimonas_synergistica_DSM_23225	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyricimonas_virosa_DSM_23226	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter_coli_BFR_CA_9557	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter_curvus_DSM_6644	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter_fetus_subsp_venerealis_NCTC_10354	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter_jejuni_jejuni_NCTC_11168	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter_jejuni_subsp_jejuni_1997_1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter_jejuni_subsp_jejuni_414	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter_jejuni_subsp_jejuni_81116	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter_jejuni_subsp_jejuni_S3	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capnocytophaga_ochracea_DSM_7271	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capnocytophaga_ochracea_str_Holt_25	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capnocytophaga_sputigena_ATCC_33612	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carnobacterium_maltaromaticum_ATCC_35586	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carnobacterium_maltaromaticum_DSM_20342	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Catabacter_hongkongensis_HKU16	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter_freundii_UCI_31	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cloacibacterium_normanense_DSM_15886	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridioides_difficile_630	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridioides_difficile_ATCC_43255	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridioides_difficile_ATCC_9689	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_difficile_R20291	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_acetobutylicum_ATCC_824	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_botulinum_A_str_ATCC_19397	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collinsella_aerofaciens_ATCC_25986	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collinsella_intestinalis_DSM_13280	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collinsella_stercoris_DSM_13279	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collinsella_tanakaei_YIT_12063	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Comamonas_testosteroni_ATCC_11996	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coprobacter_fastidiosus_NSB1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_ammoniagenes_DSM_20306	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_kroppenstedtii_DSM_44385	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_mastitidis_DSM_44356	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_matruchotii_ATCC_33806	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_striatum_ATCC_6940	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_ureicelerivorans_DSM_45051	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryptobacterium_curtum_DSM_15641	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cuneatibacter_caecimuris_DSM_29486	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cutibacterium_acnes_ATCC_11828	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dermacoccus_nishinomiyaensis_DSM_20448	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfitobacterium_hafniense_DCB_2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dorea_formicigenerans_ATCC_27755	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dorea_longicatena_DSM_13814	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dyadobacter_fermentans_DSM_18053	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dysgonomonas_mossii_DSM_22836	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Edwardsiella_tarda_NBRC_105688	-1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eggerthella_lenta_11C	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eggerthella_lenta_14A	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eggerthella_lenta_22C	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eggerthella_lenta_28B	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eggerthella_lenta_A2	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eggerthella_lenta_AN51LG	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eggerthella_lenta_DSM_15644	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eggerthella_sinensis_DSM_16107	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eikenella_corrodens_ATCC_23834	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enorma_timonensis_GD5	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacter_aerogenes_KCTC_2190	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacter_cloacae_subsp_cloacae_ATCC_13047	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacter_hormaechei_ATCC_49162	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacter_mori_LMG_25706	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_avium_ATCC_14025	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_casseliflavus_ATCC_12755	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_cecorum_DSM_20682	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_dispar_ATCC_51266	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_faecalis_ATCC_19433	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_faecalis_D3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_faecalis_DAPTO_512	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_faecalis_KB1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_faecium_DO	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_faecium_E980	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_faecium_U0317	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_faecium_VAN_335	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_faecium_VAN_342	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_faecium_VAN_345	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_faecium_VRE_84	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_pallens_DSM_15690	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_saccharolyticus_ATCC_43076	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erysipelothrix_rhusiopathiae_ATCC_19414	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_042	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_536	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_75	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_APEC_O1	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_APEC_O78	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_ATCC_25922	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_B41	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_BW25113	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_CFT073	0	-1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_DH1	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_HS	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_MS_78_1	1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_MS_79_10	-1	-1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_Mt1B1	0	-1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_N1	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_O104_H4_str_11_4632_C1	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_O104_H4_str_11_4632_C2	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_O104_H4_str_11_4632_C3	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_O104_H4_str_11_4632_C4	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_O121_H19_str_MT_2	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_O127_H27_str_C43_90	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_O127_H6_str_E2348_69	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_O157_H_str_493_89	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
